Timestamp,Event Name,Department,Event Type,Rating,Would Recommend,Comment,Duration (hours),Attendance
2025-07-04 13:00:00,Alumni Talk Series,Mechanical,expo,4,Yes,Great organization and helpful volunteers.,2.6,20
2025-02-04 15:00:00,Workshop: Python for Data,MBA,workshop,5,Yes,Loved the speaker and the Q&A session.,2.9,153
2025-03-18 12:00:00,Tech Fest 2025,ECE,expo,4,Yes,Loved the speaker and the Q&A session.,1.8,20
2025-06-10 16:00:00,Workshop: Python for Data,Biotech,workshop,4,Yes,Great organization and helpful volunteers.,1.2,111
2025-04-12 18:00:00,Cultural Night,CSE,expo,2,Yes,Session started late; needs better time management. Decent networking opportunities.,1.9,111
2025-06-01 16:00:00,Robotics Expo,Mechanical,seminar,3,No,It was okay; nothing special.,1.7,226
2025-03-23 18:00:00,Workshop: Python for Data,Civil,talk,4,Yes,"Great organization and helpful volunteers. Good in parts, but could be improved.",0.5,77
2025-04-30 19:00:00,Tech Fest 2025,Civil,fair,4,Yes,Well structured; learned a lot.,1.4,150
2025-05-26 16:00:00,Alumni Talk Series,IT,fair,4,Yes,Loved the speaker and the Q&A session.,2.9,211
2025-03-19 09:00:00,Seminar: AI Ethics,Civil,seminar,2,No,Sound system issues throughout.,3.7,158
2025-05-17 16:00:00,Career Fair,EEE,seminar,1,Yes,Sound system issues throughout.,1.3,86
2025-07-01 09:00:00,Seminar: AI Ethics,IT,expo,4,Yes,"Great organization and helpful volunteers. Good in parts, but could be improved.",3.3,190
2025-03-26 16:00:00,Alumni Talk Series,MBA,talk,4,Yes,Fun activities and friendly environment.,2.3,159
2025-01-16 12:00:00,Career Fair,ECE,seminar,4,Yes,Well structured; learned a lot.,2.5,185
2025-07-17 14:00:00,Workshop: Python for Data,CSE,competition,5,Yes,Amazing energy and clear communication.,2.4,169
2025-03-07 17:00:00,Career Fair,EEE,expo,2,No,Sound system issues throughout. Session started late; needs better time management.,1.8,114
2025-07-12 14:00:00,Workshop: Python for Data,IT,workshop,4,Yes,Loved the speaker and the Q&A session. Venue was hard to find and signage was poor.,3.1,20
2025-05-02 09:00:00,Cultural Night,Biotech,expo,5,Yes,Well structured; learned a lot.,2.3,187
2025-02-13 17:00:00,Workshop: Python for Data,Mechanical,fair,2,No,Not enough seats; poor coordination. Fun activities and friendly environment.,2.4,106
2025-07-30 15:00:00,Hackathon Sprint,Biotech,talk,5,Yes,Well structured; learned a lot.,2.4,143
2025-01-14 18:00:00,Cultural Night,Mechanical,seminar,4,Yes,Amazing energy and clear communication. Loved the speaker and the Q&A session.,3.2,108
2025-04-07 12:00:00,Tech Fest 2025,IT,tech_fest,4,Yes,Loved the speaker and the Q&A session. Well structured; learned a lot.,2.5,108
2025-07-24 17:00:00,Alumni Talk Series,MBA,tech_fest,4,Yes,Fun activities and friendly environment.,1.8,119
2025-04-03 09:00:00,Tech Fest 2025,IT,expo,4,Yes,Well structured; learned a lot.,3.2,172
2025-01-11 09:00:00,Workshop: Python for Data,IT,expo,3,Yes,Mixed feedback from my friends. Loved the speaker and the Q&A session.,3.6,20
